nombre,apellidos,nif,telefono,email,categoria,description,urgencia,fecha,direccion_persona,ubicacion_incidencia
Rosa,Marín Blanco,57106420L,765772562,rosa_marin61@gmail.com,Limpieza,Acumulacion de muebles viejos y trastos en la esquina de la calle del Comercio hace mas de una semana. Es un peligro y afea la zona.,3,2026-02-06T09:46:18+01:00,"Calle Pedro Antonio de Alarcón 105, 1ºA, 18010 Granada","37.196579, -3.601876 - En la acera derecha"
David,Medina Ramírez,45455252F,676087068,david.medina689@hotmail.com,Mobiliario Urbano,"Papelera acera Calle Arabial completamente deformada, sin poder abrir ni cerrar tapa adecuadamente. Inutilizable.",1,2026-02-06T15:53:08+01:00,"Calle San Antón 70, 4ºB, 18003 Granada","37.164340, -3.572064 - Frente a la iglesia"
Rafael,Rodríguez Ruiz,56653337J,631732360,rafaelrodriguez482@hotmail.es,Parques y Jardines,El sistema de riego por goteo del parque Roma esta averiado en la zona de rosas. Las flores estan marchitandose por falta de agua.,3,2026-02-07T07:33:55+01:00,"Calle Neptuno 26, 1ºA, 18008 Granada","37.170181, -3.570058 - Frente a la iglesia"
Nuria,Hernández Blanco,48739294V,691441818,nuriahernandez278@hotmail.com,Alumbrado Público,Tres farolas consecutivas sin funcionar en la Calle Navas entre Calle Virgen del Pilar y Calle Santo Domingo. El tramo queda muy oscuro por las noches.,3,2026-02-07T09:05:13+01:00,"Calle Tablas 20, 2ºB, 18007 Granada","37.174475, -3.614386 - Junto al colegio"
Alejandro,Rivera García,19129481J,986213317,alejandro.rivera.garcia@gmail.com,Limpieza,Derame de aceite hidráulico en la calle San Jerónimo frente al colegio San Martín. Hay chapapote y olor fuerte. Graves riesgos para los menores.,5,2026-02-07T12:43:45+01:00,"Avenida de Dílar 87, 4ºB, 18015 Granada","37.174717, -3.623237 - Junto a la parada de autobús"
Alejandro,Calvo López,75796888C,691090086,alejandro_calvo21@live.com,Movilidad,"Bache profundo en la Avenida de Andaluces, frente al Hospital Clínico. Varios pacientes se an caido de sus muletas intentando evitarlo. Es un peligro.",2,2026-02-07T16:04:23+01:00,"Paseo de la Bomba 48, 5ºA, 18005 Granada","37.174830, -3.593042 - Al lado del contenedor de reciclaje"
Rocío,Hernández Navarro,47884582P,932769375,rocio_hernandez89@gmail.com,Limpieza,Envoltorios de hamburguesas y servilletas en la zona de descanso de la Senda del Genil.,1,2026-02-07T19:48:55+01:00,"Camino de Ronda 48, 6ºA, 18011 Granada","37.176886, -3.574110 - En la acera izquierda"
Dolores,Rubio Ortiz,26979628F,620847710,doloresrubio837@live.com,Parques y Jardines,"En el parque de Myriam, una rama de pino muy grande cuelga sobrre la zona de descanso de mayores. Podria causar lesiones graves si cae.",4,2026-02-07T20:07:26+01:00,"Calle Alcaicería 44, 5ºB, 18006 Granada","37.181225, -3.586861 - En la rotonda"
Carlos,Garrido Gutiérrez,69106649K,631692098,carlos.garrido476@hotmail.es,Parques y Jardines,El árbol de la Palma Real en la Plaza Nueva ha caido y está partiendo las baldosas del pavimento. El paso peatonal está completamente obstruido.,5,2026-02-08T04:55:21+01:00,"Plaza de Mariana Pineda 113, 1ºC, 18014 Granada","37.187085, -3.617731 - Frente a la iglesia"
Francisco,Rubio Gallego,20577654Z,685977183,francisco.rubio.gallego@gmail.com,Limpieza,Tuberia rota en la bajada del Realejo vertiend sustancia quimica amarilla proxima a zona infantil. Necesita atencion urgente y acordonamiento.,5,2026-02-08T05:01:49+01:00,"Calle Recogidas 6, 1ºA, 18003 Granada","37.163713, -3.617507 - En la rotonda"
Enrique,Cortés Romero,53271692N,625072068,enrique.cortes457@gmail.com,Limpieza,"Papeles y envoltorios de desayunos dispersos en la acera de Calle Reyes Católicos, frente a la Catedral. Basura de turistas principalmente.",1,2026-02-08T05:14:49+01:00,"Calle Recogidas 86, 2ºA, 18005 Granada","37.170964, -3.604117 - Junto al centro de salud"
Nuria,Ruiz Alonso,28756614J,751967855,nuria_ruiz93@outlook.es,Alumbrado Público,"Cable electrico suelto y colgando de la farola en Avenida de Madrid esquina Calle Elvira. Está expuesto y es un peligro para transeuntes, puede haber descarga.",5,2026-02-08T06:53:07+01:00,"Calle Mesones 104, Bajo A, 18008 Granada","37.197558, -3.570423 - En la rotonda"
Sofía,Jiménez Moreno,47341465J,795066632,sjimenez900@yahoo.es,Limpieza,"El contenedor de la plaza San Nicolás está practicamente lleno hace un par de días, no cabe nada más. Huele bastante mal y hay plagas de moscas.",2,2026-02-08T06:53:14+01:00,"Calle Obispo Hurtado 71, 2ºA, 18007 Granada","37.168679, -3.607114 - Junto al paso de peatones"
Ana,Iglesias Gallego,96369402T,980240004,ana.iglesias.gallego@yahoo.es,Limpieza,Botella rota y cristales en la esquina de Calle Elvira con Carrera del Darro. Peligro para los niños que van a la escuela.,3,2026-02-08T12:59:45+01:00,"Calle Gonzalo Gallas 103, 1ºD, 18009 Granada","37.179782, -3.579574 - Junto al centro de salud"
Rubén,Calvo Moya,64583141S,725998536,ruben_calvo91@hotmail.com,Mobiliario Urbano,Estructura marquesina parada bus Camino de Ronda con panel metalico suelto colgando. Peligro inminente de caida sobre usuarios.,5,2026-02-08T15:09:44+01:00,"Calle Duquesa 11, 1ºB, 18008 Granada","37.157641, -3.614530 - Junto a la parada de autobús"
Esperanza,Gómez Romero,12132258B,913472380,esperanza.gomez262@gmail.com,Alumbrado Público,"Luz muy tenue en la farola del Parque de las Ciencias, entrada principal. La bombilla necesita cambio pero aun funciona con baja intensidad.",1,2026-02-08T17:21:39+01:00,"Calle Real de Cartuja 51, 2ºD, 18005 Granada","37.195417, -3.593814 - Frente a la iglesia"
Silvia,Ruiz Gutiérrez,46071648A,982264759,silvia.ruiz.gutierrez@live.com,Movilidad,"El semáforo de los ciclistas en Calle Ángel Ganivet parpadea de forma irregular, a veces se queda verde, a veces rojo. Los ciclistas no saben si es seguro pasar.",3,2026-02-08T18:36:46+01:00,"Calle Molinos 10, 5ºA, 18005 Granada","37.171609, -3.579902 - En la esquina con Calle Molinos"
Miguel,León Rubio,37221284Q,974860388,miguel_leon14@gmail.com,Alumbrado Público,"Farola sin iluminación en Calle Recogidas numero 45, entre dos farolas que si funcionan. Deja un punto oscuro en la acera.",2,2026-02-08T22:04:28+01:00,"Calle Gracia 98, 2ºA, 18011 Granada","37.161590, -3.611749 - Frente a la iglesia"
Iván,Cortés Flores,96567850G,958407347,icortes800@hotmail.es,Limpieza,Se observa un vertido de aceite quemado en la calle trasera del Mercadillo de San Agustín. Mancha grande en el asfalto que no se a limpiado en días.,4,2026-02-09T01:33:45+01:00,"Avenida de Dílar 42, 4ºB, 18007 Granada","37.160106, -3.620665 - Junto a la parada de autobús"
Carlos,Serrano Prieto,89466863Z,957248172,cserrano992@yahoo.es,Limpieza,Residuos químicos (bidones abiertos) encontrados junto al parque infantil de Los Mártires. Olor muy fuerte a solventes. Muy peligroso para los niños.,5,2026-02-09T02:54:33+01:00,"Calle San Juan de Dios 67, 3ºB, 18009 Granada","37.181040, -3.570491 - En la mediana de la avenida"
Dolores,Sanz Rubio,53789824T,782922062,dolores.sanz404@gmail.com,Alumbrado Público,"Cinco farolas consecutivas apagadas en Avenida Constitucion tramo entre Puente Verde y Calle Ronda. Muy peligroso de noche, la calle queda sin luz.",4,2026-02-09T06:50:55+01:00,"Calle Duquesa 34, 2ºB, 18003 Granada","37.176005, -3.570974 - Junto al parque infantil"
Antonio,Ruiz Calvo,39750823S,624213102,antonioruiz978@yahoo.es,Limpieza,Envoltorios de chicles y papeletas electorales pegadas en las verjas del Paseo de los Tristes.,1,2026-02-09T08:04:17+01:00,"Avenida de la Constitución 59, 1ºC, 18006 Granada","37.164732, -3.611660 - En la acera derecha"
Teresa,Romero González,49550075W,733919754,teresa_romero54@yahoo.es,Limpieza,"Contenedor de reciclaje rebosado en la esquina de Calle Elvira, botellas y cartones en el suelo alrededor.",2,2026-02-09T16:25:11+01:00,"Calle Navas 69, 4ºC, 18005 Granada","37.181389, -3.595751 - Al lado del contenedor de reciclaje"
Vicente,Gil Medina,94665031K,637592664,vicentegil654@hotmail.es,Movilidad,"Semáforo apagado en la rotonda de la Avenida Juan Carlos I, uno de los cruces mas importantes de la ciudad. Hay atascos y al menos dos accidentes leves hoy.",4,2026-02-09T16:56:37+01:00,"Calle Duquesa 33, 3ºD, 18012 Granada","37.190354, -3.594172 - En la acera derecha"
María,Castro Domínguez,77372465M,617258868,maria.castro.dominguez@gmail.com,Alumbrado Público,"La farola de Calle Caldererìa Nueva emite una luz anaranjada muy debil, casi parpadea. Es la unica iluminacion en esa zona y apenas funciona.",1,2026-02-09T19:50:59+01:00,"Calle Mesones 25, 2ºB, 18015 Granada","37.158933, -3.592662 - En la acera derecha"
Alberto,Rivera López,92346349S,918109182,alberto_rivera37@outlook.es,Alumbrado Público,Dos farolas rotas en Calle Santa Escolastica. Una completamente apagada y la otra parpadea. Hay luz en otras zonas cercanas pero estas estan dañadas.,3,2026-02-10T07:04:50+01:00,"Calle Recogidas 64, 6ºA, 18003 Granada","37.199697, -3.600070 - Junto a la parada de autobús"
Adrián,Jiménez Vázquez,60905667B,940117670,ajimenez133@live.com,Movilidad,La señal de ceda el paso en la Calle Virgen del Carmen está cubierta de polvo y apenas se ve. Es una zona poco transitada.,1,2026-02-10T11:41:31+01:00,"Calle Pedro Antonio de Alarcón 106, 2ºC, 18011 Granada","37.176529, -3.601378 - Junto al quiosco de prensa"
Sofía,López Cortés,72503345P,613915054,sofialopez385@live.com,Alumbrado Público,"Cable de corriente caido sobre la calle en Avenida Fuerzas Armadas. Está tirado en el piso y los vehiculos pasan por encima, es un riesgo de electrocucion grave.",5,2026-02-10T11:43:25+01:00,"Calle San Juan de Dios 32, 3ºC, 18001 Granada","37.174635, -3.572093 - Bajo la marquesina del autobús"
Teresa,Rivera Iglesias,29535957R,916326778,teresa.rivera.iglesias@gmail.com,Limpieza,"Bolsas de basura abiertas hace mas de una semana en la calle Almirantes, con restos de comida y animales revolviendo.",3,2026-02-10T16:57:51+01:00,"Avenida de Dílar 57, Bajo B, 18004 Granada","37.170295, -3.623898 - En la rotonda"
Marta,Ruiz García,15752293F,718153631,marta.ruiz.garcia@hotmail.es,Limpieza,Fuga de gasolina/aceite de vehiculo abandonado en parking subterraneo de Plaza Nueva. Mancha extendida sobre varios metros cuadrados.,4,2026-02-10T21:36:54+01:00,"Paseo de los Tristes 5, 3ºC, 18009 Granada","37.180716, -3.590430 - Frente al supermercado"
Rafael,Sanz Blanco,38938808S,991549880,rafael.sanz386@outlook.es,Alumbrado Público,Farola fundida en Calle Príncipe numero 78. Las luces cercanas iluminan bastante bien pero esta en particular no enciende.,2,2026-02-10T23:21:19+01:00,"Calle Duquesa 37, 3ºC, 18015 Granada","37.197434, -3.613369 - A la altura del número 26"
Carmen,Gallego Prieto,81471288K,913847875,carmen_gallego27@outlook.es,Movilidad,"Bache pequeño pero en zona escolar, en la Calle San Matías justo frente al colegio. Los niños lo evitan saltando pero es innecesario riesgo.",2,2026-02-11T04:28:47+01:00,"Calle Neptuno 114, 4ºA, 18005 Granada","37.180685, -3.607150 - Junto al centro de salud"
Óscar,Flores Torres,54476513R,614396114,oflores703@hotmail.com,Alumbrado Público,"Cuatro farolas sin luz consecutivas en Calle Arabial desde Calle Tablas hasta Cruce Cordoba. Tramo completamente oscuro, imposible ver bien por la noche.",4,2026-02-11T07:15:44+01:00,"Calle Pedro Antonio de Alarcón 54, 4ºC, 18004 Granada","37.188398, -3.577392 - Frente a la iglesia"
Josefa,Gómez Iglesias,93919793Y,634913761,josefa_gomez15@hotmail.com,Alumbrado Público,"Luz muy debil en la farola del Parque del Triunfo, entrada trasera. Solo ilumina a medio metro, la bombilla esta a punto de fallar.",1,2026-02-11T07:49:26+01:00,"Calle Navas 86, 1ºA, 18006 Granada","37.199918, -3.609273 - Frente al portal 48"
Carlos,Gómez Rodríguez,55038454Y,662383627,carlos.gomez.rodriguez@hotmail.es,Parques y Jardines,"El pasto en la zona norte del parque Sierra Elvira crece sin control, alcanza casi media altura de la pierna. Necesita corte urgentamente por higiene.",1,2026-02-11T08:30:49+01:00,"Calle Gracia 18, 2ºB, 18007 Granada","37.158299, -3.571533 - Junto al paso de peatones"
Isabel,Delgado Martínez,26426675C,611194686,idelgado321@hotmail.es,Limpieza,"Pinturas y barnices tóxicos derramados a la entrada del Colegio Público Virgen del Carmen, sin señalización. Riesgo inmediato de contaminación.",5,2026-02-11T13:58:35+01:00,"Calle Sierpe 88, Ático, 18015 Granada","37.157797, -3.605924 - Junto a la fuente"
José,Sánchez Ramírez,34331618R,632571801,josesanchez331@gmail.com,Limpieza,Varios envoltorios de caramelos y papeles de aluminio esparcidos en la acera de Calle Navas. Probablemente de los vendedores callejeros.,1,2026-02-11T15:30:35+01:00,"Carrera del Darro 109, Ático, 18006 Granada","37.163909, -3.582387 - Frente al portal 32"
Andrea,Domínguez Calvo,94538652G,728629467,adominguez919@outlook.es,Otros,Olor nauseabundo a descomposicion en la escalera del edificio. Posible animal muerto atrapado en tuberias.,3,2026-02-12T00:56:43+01:00,"Paseo del Salón 46, Bajo B, 18001 Granada","37.175791, -3.583638 - Frente a la farmacia"
Adrián,Garrido Ruiz,38682521V,688880389,adrian.garrido929@gmail.com,Limpieza,"Contenedor de vidrio lleno en la Avenida de la Constitución, con botellas alrededor que nadie a recogido.",2,2026-02-12T05:20:59+01:00,"Calle Navas 50, 3ºA, 18004 Granada","37.157595, -3.618298 - Junto al parque infantil"
Pilar,Moreno Blanco,12096319K,634167927,pilar.moreno533@gmail.com,Limpieza,Acumulación de basura doméstica dispersa en Calle Tablas hace 4 dias. Los vecinos dicen que fue fallo en la recogida.,3,2026-02-12T12:14:44+01:00,"Calle Severo Ochoa 38, 3ºA, 18009 Granada","37.174132, -3.621355 - En la esquina con Calle Elvira"
Beatriz,Cortés Serrano,95358478H,948529828,bcortes764@yahoo.es,Limpieza,Derrame de liquido oscuro (posible aceite industrial) en la calle de acceso al taller mecanico de Calle Azacaya. Resbaladizo y contamina.,4,2026-02-13T03:11:17+01:00,"Gran Vía de Colón 62, 3ºD, 18006 Granada","37.196731, -3.617478 - En la esquina con Paseo de la Bomba"
Marta,Ramos Flores,42260042A,616343565,martaramos350@hotmail.es,Alumbrado Público,"Farola apagada en Plaza Nueva numero 12, frente a la Chancilleria. Otras farolas de la plaza funcionan correctamente pero esta esta rota.",2,2026-02-13T04:16:41+01:00,"Carrera del Darro 99, 3ºB, 18003 Granada","37.184794, -3.595701 - Al lado del contenedor de reciclaje"
Lucía,Sánchez Molina,67316502X,962192276,lucia.sanchez329@live.com,Limpieza,Contenedores de residuos peligrosos sin precinto encontrados cerca del jardín infantil de Parque de las Ciencias. Aspecto muy sospechoso.,5,2026-02-13T04:37:26+01:00,"Paseo de la Bomba 78, 5ºA, 18015 Granada","37.161263, -3.573092 - En la rotonda"
Lucía,Ramos Serrano,34806011L,938198131,lucia_ramos68@live.com,Movilidad,"Semáforo en la Avenida de la Paz que hace parpadeos irregulares, alterando el flujo de trafico en una de las vias principales. Los conductores no confian en el aparato.",3,2026-02-13T07:33:53+01:00,"Calle Real de Cartuja 4, 3ºA, 18010 Granada","37.181438, -3.621515 - Cerca del cruce con Calle Ángel Ganivet"
Diego,Delgado Álvarez,32825771X,628796602,diego_delgado31@outlook.es,Parques y Jardines,"En el parque Fuente de la Paz, el banco de ceramica tiene un listón lateral suelto que cuelga. Alguien podria engancharse la ropa.",2,2026-02-13T17:42:22+01:00,"Calle Molinos 54, Ático, 18004 Granada","37.156760, -3.615084 - Frente al supermercado"
Álvaro,Gallego Rodríguez,97489701S,956695529,alvaro.gallego.rodriguez@outlook.es,Alumbrado Público,"Nueve farolas seguidas sin funcionar en Avenida Juan Pablo II desde Calle Sócrates hasta Paseo Facultad. La avenida esta a oscuras completamente, muy inseguro para peatones y conductores.",4,2026-02-13T18:46:23+01:00,"Calle Molinos 85, 1ºA, 18003 Granada","37.184044, -3.596837 - Junto al paso de peatones"
Sofía,Vázquez Rodríguez,20874593T,995789412,svazquez636@outlook.es,Parques y Jardines,El sistema de riego automatico del parque Cartuja lleva averiado 15 dias. Los setos estan perdiendo color y los arbustos se ven marchitos.,3,2026-02-13T22:17:58+01:00,"Calle Navas 18, 4ºA, 18005 Granada","37.192172, -3.583139 - En la rotonda"
Isabel,Ortiz Navarro,51082004Q,942470632,iortiz776@gmail.com,Alumbrado Público,"Farola con luminosidad muy baja en Calle Cordoba numero 34. La luz amarilla apenas se ve, es como si no estuviera encendida pero si lo esta.",1,2026-02-13T22:48:09+01:00,"Calle Tablas 25, 4ºC, 18005 Granada","37.188844, -3.621208 - Junto al centro de salud"
Carmen,Vázquez Pérez,63456477Y,689008815,carmen_vazquez42@hotmail.es,Alumbrado Público,Dos farolas apagadas en Calle Virgen del Pilar pero hay farolas funcionales a escasos metros. Puntos oscuros puntuales sin deixar la calle a oscuras.,2,2026-02-14T00:54:29+01:00,"Plaza Bib-Rambla 98, Ático, 18009 Granada","37.193953, -3.617730 - En la rotonda"
Sofía,Guerrero Iglesias,88933322G,758640713,sofiaguerrero812@hotmail.es,Otros,"Vandalismo en cabina telefónica, toda rota. Los cristales esparcidos por la acera son peligrosos.",2,2026-02-14T07:06:18+01:00,"Paseo del Salón 56, 4ºA, 18013 Granada","37.166282, -3.601218 - Junto a la fuente"
Daniel,Moya Blanco,21892888Q,949032565,daniel.moya873@gmail.com,Parques y Jardines,Una rama de nogal muy voluminosa en el Jardin de las Flores está a punto de desprenderse. Hay mucho movimiento cuando hay viento fuerte.,4,2026-02-14T11:59:52+01:00,"Paseo de los Tristes 1, 3ºC, 18001 Granada","37.157383, -3.621725 - En la esquina con Calle Gracia"
Ana,Iglesias Gallego,12366181R,990573642,ana_iglesias76@gmail.com,Mobiliario Urbano,Banco madera Plaza del Carmen con pintura descascarada en 80% superficie y herrumbre visible. Aspecto muy deteriorado.,2,2026-02-14T12:14:17+01:00,"Avenida de la Constitución 31, Bajo B, 18006 Granada","37.161421, -3.582330 - En la acera derecha"
Rubén,Alonso Ramírez,82379624H,644082938,ruben.alonso746@hotmail.com,Mobiliario Urbano,"Papelera municipal en Plaza Nueva completamente abollada en la parte frontal, no afecta su funcionamiento pero afea el espacio publico.",1,2026-02-14T13:52:32+01:00,"Calle Tablas 96, 5ºB, 18005 Granada","37.176785, -3.589346 - Junto a la fuente"
Adrián,Ramírez Gómez,72064062W,992474848,adrian.ramirez107@live.com,Mobiliario Urbano,Banco de metal en Paseo de los Tristes con pintura descascarillada y oxidación superficial en los extremos.,2,2026-02-14T14:44:58+01:00,"Calle Pedro Antonio de Alarcón 75, Ático, 18012 Granada","37.163947, -3.601168 - A la altura del número 17"
Josefa,Muñoz Rivera,65099619M,933064672,josefamunoz441@live.com,Movilidad,"Gran socavón en la Calle Rectores, junto al area de la Rábida. El bache mide mas de 1 metro, ha dañado ya varios neumaticos y la suspension de autos. Urjente reparacion.",5,2026-02-15T15:07:46+01:00,"Paseo de la Bomba 17, 3ºB, 18015 Granada","37.172080, -3.614517 - En la acera izquierda"
Teresa,Ortiz Garrido,38347809R,920673884,teresa_ortiz71@gmail.com,Alumbrado Público,"Seis farolas consecutivas sin luz en Camino de Ronda desde el Puente Zujaira hasta la rotonda de los Jueces. Segmento entero sin iluminacion, peligroso atravesar.",4,2026-02-15T20:25:09+01:00,"Avenida de Cervantes 60, 5ºA, 18014 Granada","37.157267, -3.614471 - Bajo la marquesina del autobús"
Alejandro,Ramos Moya,27937265Q,768000042,alejandroramos185@hotmail.es,Alumbrado Público,"Cable electrico desprendido y colgando en Calle Anguila esquina Calle Pavaneras. Esta rozando la calle y puede tocar gente o vehículos, muy peligroso.",5,2026-02-16T02:15:34+01:00,"Calle San Juan de Dios 83, 3ºA, 18009 Granada","37.166464, -3.593277 - En la acera izquierda"
Amparo,Álvarez Molina,88305855T,947075386,amparo_alvarez10@gmail.com,Alumbrado Público,"Tres farolas rotas en Calle Real numero 1 a 5. Una ilumina poco, otra se apaga intermitentemente y otra esta completamente oscura. La zona queda mal iluminada.",3,2026-02-16T04:03:31+01:00,"Calle Pedro Antonio de Alarcón 48, 1ºB, 18013 Granada","37.162769, -3.585598 - Junto al quiosco de prensa"
Dolores,Guerrero Domínguez,64983997G,981684452,doloresguerrero507@hotmail.com,Alumbrado Público,"La farola de la esquina de Calle Reyes Católicos con Gran Via lleva meses con una luz muy tenue, casi no se ve de noche. Habría que revisar la bombilla o el cableado.",1,2026-02-16T12:06:26+01:00,"Calle Mesones 118, 2ºB, 18015 Granada","37.177898, -3.610701 - Junto al parque infantil"
Alberto,González Moreno,13693560G,681099078,alberto.gonzalez.moreno@gmail.com,Mobiliario Urbano,Marquesina de parada de autobús en Avenida de la Constitución con cristal frontal agrietado formando una gran rajadura diagonal.,3,2026-02-16T12:37:10+01:00,"Gran Vía de Colón 59, 2ºA, 18003 Granada","37.188007, -3.590754 - Junto al quiosco de prensa"
Rocío,Blanco Martínez,60195138K,923738442,rocio_blanco79@yahoo.es,Parques y Jardines,El arbol de Ficus del parque Carmen Navas ha caido atravesando los bancos y generando grietas en el suelo. Hay que limpiar los escombros inmediatamente.,5,2026-02-16T14:50:05+01:00,"Calle Alcaicería 101, 3ºA, 18013 Granada","37.160471, -3.595804 - En la acera derecha"
Beatriz,Guerrero Alonso,25000290A,977535671,beatriz.guerrero.alonso@outlook.es,Alumbrado Público,"Farola fundida en Paseo del Salón frente al Paseo de los Mártires, pero hay otra justo 30 metros más allá que funciona bien.",2,2026-02-16T16:52:06+01:00,"Avenida de Dílar 52, 3ºC, 18012 Granada","37.162812, -3.583205 - Junto a la parada de autobús"
Patricia,Rivera Flores,14095583X,924961625,patricia.rivera.flores@hotmail.es,Limpieza,"Papeles, tickets y trapos usados tirados en la rampa de acceso al Palacio de los Córdova.",1,2026-02-17T03:51:42+01:00,"Acera del Darro 15, Bajo A, 18011 Granada","37.185555, -3.623418 - Junto a la fuente"
Mercedes,Moreno Cortés,57196235L,671369432,mercedes.moreno62@hotmail.com,Otros,Ratas grandes saliendo del alcantarillado en el pasaje del Triunfo. He visto al menos 5 este mes.,3,2026-02-17T06:34:42+01:00,"Calle Gonzalo Gallas 7, 1ºD, 18014 Granada","37.175499, -3.611366 - A la altura del número 23"
Pilar,Castillo Muñoz,93386641V,618041926,pilar_castillo49@yahoo.es,Otros,"Fuga de agua en tuberia subterranea cerca del puente de la Justicia, formandose un socavon peligroso.",5,2026-02-17T06:59:22+01:00,"Calle Recogidas 26, 2ºD, 18001 Granada","37.162056, -3.586728 - Cerca del cruce con Paseo del Salón"
Rafael,Guerrero Guerrero,79232436N,797342218,rafaelguerrero799@yahoo.es,Movilidad,La señal de dirección obligatoria hacia la Alhambra tiene una flecha parcialmente ilegible. Aun así se entiende hacia dónde apunta.,1,2026-02-17T18:37:23+01:00,"Calle Profesor Emilio Orozco 91, Bajo B, 18015 Granada","37.195700, -3.587822 - A la altura del número 8"
Pedro,Ramírez Gallego,86858346L,959066811,pedroramirez652@gmail.com,Limpieza,Bolsa de residuos textiles rebosada junto al contenedor de la Avenida del Hospicio. Prendas esparcidas en la calle.,2,2026-02-17T21:13:30+01:00,"Calle Elvira 43, 2ºA, 18005 Granada","37.183035, -3.593838 - Junto al parque infantil"
Francisco,Gil Moreno,89721929X,991701313,francisco.gil.moreno@live.com,Limpieza,Montaña de escombros y basura acumulada en la zona trasera de la Catedral desde hace mas de una semana. Aspecto abandonado y sucio.,3,2026-02-17T22:47:17+01:00,"Calle Arabial 108, 2ºB, 18001 Granada","37.192836, -3.573894 - Bajo la marquesina del autobús"
Esperanza,Medina Iglesias,93292567J,792772420,esperanza_medina82@gmail.com,Alumbrado Público,He notado que en todo el tramo de Calle Navas entre Plaza Nueva y la Catedral hay como unas 4 farolas apagadas. Es peligroso a altas horas de la noche.,3,2026-02-17T23:18:38+01:00,"Gran Vía de Colón 19, 2ºB, 18008 Granada","37.160424, -3.574370 - Al lado del contenedor de reciclaje"
Rocío,Iglesias Muñoz,47832263Z,948529104,rocio_iglesias95@gmail.com,Alumbrado Público,Calle entera a oscuras en la Avenida Constitución entre la Avenida del Mediterráneo y la calle Acera del Darro. Las farolas no encienden desde hace semanas y es imposible circular por ahí de noche.,4,2026-02-17T23:51:03+01:00,"Plaza Bib-Rambla 19, 5ºA, 18001 Granada","37.174212, -3.604755 - Junto al centro de salud"
Rafael,Pérez Calvo,92959137Z,917483094,rafael.perez272@outlook.es,Alumbrado Público,"Ha caído un cable electrico de la farola en Calle Elvira, está colgando sobre la acera y puede ser peligroso. Urge repararlo cuanto antes!",5,2026-02-18T03:21:17+01:00,"Paseo de la Bomba 19, Ático, 18007 Granada","37.157622, -3.621518 - Junto a la fuente"
Rosa,Álvarez Sánchez,42342725R,762083085,rosa.alvarez.sanchez@gmail.com,Movilidad,"Bache en la Avenida del Ejército, de unos 50 cm, que aparece y desaparece segun llueva. Hoy esta lleno de agua sucia y no se ve bien.",2,2026-02-18T06:10:13+01:00,"Avenida de Cervantes 81, 3ºD, 18007 Granada","37.166528, -3.581503 - Al lado del contenedor de reciclaje"
Lucía,Domínguez Sanz,28658314S,968266292,lucia.dominguez431@hotmail.es,Limpieza,Vertimiento de aguas grises/negras en la callejuela de Calle Cuchillería. Olor nauseabundo y riesgo sanitario elevado.,4,2026-02-18T10:13:28+01:00,"Calle Puentezuelas 20, Bajo B, 18001 Granada","37.195451, -3.608906 - Al lado del contenedor de reciclaje"
Nuria,Núñez Blanco,85788305F,630648873,nnunez111@gmail.com,Movilidad,"El semaforo peatonal en Plaza Nueva falla intermitentemente, quedandose en transición entre rojo y verde. Los visitantes turisticos se confunden mucho.",3,2026-02-18T13:41:48+01:00,"Calle Severo Ochoa 78, 4ºA, 18001 Granada","37.187895, -3.591772 - Al lado del contenedor de reciclaje"
Isabel,Castro Guerrero,60772576K,937994464,isabel_castro50@gmail.com,Mobiliario Urbano,Bolardo de hormigón arrancado en calle Recogidas dejando un hueco profundo donde pueden tropezar peatones o entorpecer sillas de ruedas.,4,2026-02-18T17:09:23+01:00,"Calle Pedro Antonio de Alarcón 24, 5ºA, 18009 Granada","37.155380, -3.616223 - Junto al parque infantil"
Manuel,Ramos León,85605384M,932482508,manuel.ramos.leon@gmail.com,Movilidad,"Semaforo completamente fuera de servicio en la interseccion de Avenida del Albayzin y calle del Comercio, hay caos de trafico y riesgo de colisiones. Necesita atencion inmediata.",4,2026-02-18T20:16:35+01:00,"Calle Severo Ochoa 30, 2ºB, 18010 Granada","37.166637, -3.621936 - Cerca del cruce con Paseo de la Bomba"
David,Iglesias Guerrero,44137431V,989933051,david.iglesias.guerrero@gmail.com,Otros,Graffitis de signos satanicos en varias paredes del barrio de Sacromonte. Generan malestar en la comunidad.,1,2026-02-18T20:42:38+01:00,"Calle San Juan de Dios 84, 3ºC, 18003 Granada","37.157565, -3.597698 - Frente al portal 4"
Laura,Serrano Rivera,83078623R,659018169,laura.serrano.rivera@gmail.com,Limpieza,"Barriles con etiqueta de sustancia corrosiva encontrados en la puerta del CEIP Granada Centro, sin vigilancia. Riesgo crítico para menores.",5,2026-02-19T01:18:51+01:00,"Plaza de Mariana Pineda 23, 2ºA, 18013 Granada","37.197944, -3.603682 - Junto al parque infantil"
Enrique,Rodríguez Ruiz,43583640C,696612326,enrique.rodriguez.ruiz@gmail.com,Parques y Jardines,La zona de arboles frutales del parque Constitucion tiene cesped sin cortar desde hace tres semanas. Parece abandonada y atrae insectos.,1,2026-02-19T09:03:41+01:00,"Calle Arabial 25, 2ºA, 18015 Granada","37.194588, -3.620679 - Junto al quiosco de prensa"
